label,CPI,Compute_Density,Mem_Boundness,Stall_Ratio,Branch_MPKI,Vector_Intensity,Clock_Ratio
HighFreq,2181.763566647,0.0,0.035021775875763,0.81805614497484,0.97460499405055,0.0,0.66669297604468
HighFreq,2090.8402697624,0.0,0.034236072776746,0.81724138289217,0.98972360225936,0.0,0.66664423793132
HighFreq,2112.3328206775,0.0,0.034052178223957,0.81834150659671,0.98587661331666,0.0,0.66668259256205
HighFreq,2147.8221028967,0.0,0.034632071824391,0.81879268457779,0.98228732620244,0.0,0.66668998373005
HighFreq,2113.6728149566,0.0,0.034324820244259,0.81630662945209,0.97523302714023,0.0,0.66667071787846
HighFreq,2097.7482944676,0.0,0.03414980713988,0.81945348844531,0.97898537955263,0.0,0.66664545885395
HighFreq,2132.1153595728,0.0,0.034807184348424,0.81853817196885,0.9524919748997,0.0,0.6666910502874
HighFreq,2108.1155820281,0.0,0.034169486951731,0.8171788776106,0.99506403265159,0.0,0.66667259788195
HighFreq,2166.83710891,0.0,0.035101304885519,0.81786899790731,1.008425700119,0.0,0.66666572788573
HighFreq,2170.5495956748,0.0,0.035709117430842,0.81924154940015,0.98693540638006,0.0,0.66663780189873
HighFreq,2172.4999768244,0.0,0.034859063124656,0.81614561645825,1.0110373996929,0.0,0.66666751801184
HighFreq,2181.4143521212,0.0,0.035881757464336,0.81905280047823,1.0501268297224,0.0,0.66666577677196
HighFreq,2163.8012608558,0.0,0.034221991401945,0.81891575139316,0.96944516575781,0.0,0.66666665273985
HighFreq,2103.4922283281,0.0,0.034357494102169,0.81739727481024,0.970582377478,0.0,0.66666998163857
HighFreq,2144.5848583978,0.0,0.034528411950405,0.81844333665348,1.0065425264217,0.0,0.66664821767373
HighFreq,2135.7066337429,0.0,0.033934847371509,0.81895370435748,0.97404261863668,0.0,0.66667877050913
HighFreq,2218.4631338246,0.0,0.035495064295793,0.81619401515059,1.0235263143882,0.0,0.66667026013567
HighFreq,2164.6216594557,0.0,0.035383287681513,0.81920638931339,1.0102088823338,0.0,0.6666457186888
HighFreq,2157.2389731582,0.0,0.034827359052323,0.81842085734612,0.9636710401031,0.0,0.66669060937702
HighFreq,2118.2399089397,0.0,0.034271898681263,0.81705544589814,0.99985595295593,0.0,0.66667078481044
HighFreq,2174.117220726,0.0,0.035664276872143,0.81807851527388,1.0117730961126,0.0,0.66667186239718
HighFreq,2136.6991301226,0.0,0.035065775039961,0.8194521568169,0.97444503645621,0.0,0.66666694432782
HighFreq,2159.9722215822,0.0,0.035281038673779,0.81606262522682,0.99650933723489,0.0,0.66667006623521
HighFreq,2088.1886079579,0.0,0.034196172768353,0.81895821918474,0.97448790660508,0.0,0.66667202226464
HighFreq,2147.7059616871,0.0,0.034802279300175,0.81821006840743,0.95925321421413,0.0,0.66664217801887
HighFreq,2135.752004807,0.0,0.034910410188065,0.8171155100494,1.0109467017508,0.0,0.66667125021479
HighFreq,2153.3168866072,0.0,0.034578897196476,0.81841271039193,1.0049500970495,0.0,0.66667327755572
HighFreq,2163.8646355361,0.0,0.035112015118074,0.81932792101614,0.96940321114814,0.0,0.66668613551606
HighFreq,2086.9121095,0.0,0.034412138717065,0.81582032978689,0.9683370480746,0.0,0.66667265937396
HighFreq,2086.966510652,0.0,0.034524498564146,0.81933492011309,0.9739320139801,0.0,0.66665577868452
HighFreq,2119.5436035257,0.0,0.034542006844534,0.81819623562361,0.94387877657485,0.0,0.66666817774175
